Project ID / Folder No.,MS or LCN No. /Root Filename,Title,Job Type,X=Done / Issue,Notes
,,,,,
773,MS1356,"Poems, etc",Customer,X,
774,BookofBeauty,Book of Beauty,Customer,X,No LCN available at time of imaging
775,OLS-CARI-ROB,Robinson Collection ,Queue,X,
776,MS1634,"Granth, the holy book of Skihs",Customer ,X,
777,SOE1,TCD Record of the School of Engineering ,Customer ,X,
778,OLS-CARI-ADD 001-050,Robinson Additionals OLS-CARI-ADD,Queue,X,
779,OLS-CARI-ADD 051-100,Robinson Additionals OLS-CARI-ADD,Queue,X,
780,OLS-CARI-ADD 101-150,Robinson Additionals OLS-CARI-ADD,Queue,X,
781,OLS-CARI-ADD 151-200,Robinson Additionals OLS-CARI-ADD,Queue,X,
782,OLS-CARI-ADD 201-250,Robinson Additionals OLS-CARI-ADD,Queue,X,
783,OLS-CARI-ADD 251-300,Robinson Additionals OLS-CARI-ADD,Queue,X,
784,OLS-CARI-ADD 301-350,Robinson Additionals OLS-CARI-ADD,Queue,X,
785,OLS-CARI-ADD 351-400,Robinson Additionals OLS-CARI-ADD,Queue,X,
786,OLS-CARI-ADD 401-450,Robinson Additionals OLS-CARI-ADD,Queue,X,
787,MS4024,Beaufort family,Europeana ,X,
788,MS4025,Beaufort family,Europeana ,X,
789,MS4026,Beaufort family,Europeana ,X,
790,MS4027,Beaufort family,Europeana ,X,
791,MS4028,Beaufort family,Europeana ,X,
792,MS4029,Beaufort family,Europeana ,X,
